ID,Title,Abstract,Author Keywords,Index Keywords,Authors,Author full names,Author(s) ID,Publisher,Year,Language of Original Document,Venue,Cited by,DOI,Link,ISSN,ISBN,CODEN,Document Type,Relevant?,Exclusion Rationale (why do you exclude?),Ranking,Publication Stage,Open Access,Source,EID
1,A Novel Security Threat Model for Automated AI Accelerator Generation Platforms,"In recent years, the design of Artificial Intelligence (AI) accelerators has gradually shifted from focusing solely on standalone accelerator hardware to considering the entire system, giving rise to a new AI accelerator design paradigm that emphasizes full-stack integration. Systems designed based on this paradigm offer a user-friendly, end-to-end solution for deploying pre-trained models. While previous studies have identified vulnerabilities in individual hardware components or models, the security of this paradigm has not yet been thoroughly evaluated. This work, from an attacker’s perspective, proposes a threat model based on this paradigm and reveals the potential security vulnerabilities of systems by embedding malicious code in the design flow, highlighting the necessity of protection to address this security gap. In exploration and generation, it maliciously leverages the exploration unit to identify sensitive parameters in the model’s intermediate layers and insert hardware Trojan (HT) into the accelerator. In execution, malicious information is concealed within the control instructions, triggering the HT. Experimental results demonstrate that the proposed method, which manipulates sensitive parameters in a few selected kernels across the middle convolutional layers, successfully misclassifies input images into specified categories with high misclassification rates across various models: 97.3% in YOLOv8 by modifying only three parameters per layer in three layers, 99.2% in ResNet-18 by altering four parameters per layer in three layers and 98.1% for VGG-16 by changing seven parameters per layer in four layers. Additionally, the area overhead introduced by the proposed HT occupies no more than 0.39% of the total design while maintaining near-original performance as in uncompromised designs, which clearly illustrates the concealment of the proposed security threat. © 2013 IEEE.",deep neural networks (DNNs); Full-stack AI accelerator design; hardware Trojan (HT); security threats,Computer viruses; Integrated circuit design; Particle accelerators; Accelerator design; Deep neural network; Full-stack artificial intelligence accelerator design; Hardware trojan; Neural-networks; Security threat modeling; Security threats; Sensitive parameter; Three-layer; Trojans; Deep neural networks,Guo C.; Shi Y.,"Guo, Chao (59418057100); Shi, Youhua (57189059890)",59418057100; 57189059890,Institute of Electrical and Electronics Engineers Inc.,2025,English,IEEE Access,0,10.1109/ACCESS.2025.3558072,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003088622&doi=10.1109%2fACCESS.2025.3558072&partnerID=40&md5=442311974d16812188bf0b8f904c41cf,21693536,,,Journal paper,1,,-,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-105003088622
2,Secure AI Systems: Emerging Threats and Defense Mechanisms,"The capability of artificial intelligence (AI), increasingly embedded in critical domains, faces a complex array of security threats. It has motivated researchers to explore the security vulnerability of AI solutions and propose effective countermeasures. This article offers a comprehensive exploration of diverse attacks on AI models, including backdoors (Trojans), adversarial, fault injection, data poisoning, model inversion, model extraction, membership inference attacks, etc. These security vulnerabilities are classified into two broad categories, namely, Supply Chain Attacks and Runtime Attacks. We highlight threat models, attack strategies, and defenses to secure AI systems against these attacks. The work also underscores the significance of developing secure and robust AI models and their implementation to safeguard sensitive data and embedded systems. We present some emerging research directions on secure AI systems. © 2024 IEEE.",Adversarial Attacks; and Countermeasures; Artificial Intelligence; Machine Learning; Security; Threat Model,Cyber attacks; And countermeasure; Artificial intelligence systems; Critical domain; Defence mechanisms; Intelligence models; Machine-learning; Security; Security threats; Security vulnerabilities; Threat modeling; Adversarial machine learning,Rahaman H.; Chatterjee A.; Bhunia S.,"Rahaman, Habibur (59706518800); Chatterjee, Atri (58184343300); Bhunia, Swarup (7003286155)",59706518800; 58184343300; 7003286155,IEEE Computer Society,2024,English,Proceedings of the Asian Test Symposium,0,10.1109/ATS64447.2024.10915428,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001130224&doi=10.1109%2fATS64447.2024.10915428&partnerID=40&md5=d589181e87d38b4adc62455de8584bd6,10817735,979-833152916-1,,Conference paper,1,,Unranked,Final,,Scopus,2-s2.0-105001130224
3,An Ontology-Based Cybersecurity Framework for AI-Enabled Systems and Applications,"Ontologies have the potential to play an important role in the cybersecurity landscape as they are able to provide a structured and standardized way to semantically represent and organize knowledge about a domain of interest. They help in unambiguously modeling the complex relationships between various cybersecurity concepts and properties. Leveraging this knowledge, they provide a foundation for designing more intelligent and adaptive cybersecurity systems. In this work, we propose an ontology-based cybersecurity framework that extends well-known cybersecurity ontologies to specifically model and manage threats imposed on applications, systems, and services that rely on artificial intelligence (AI). More specifically, our efforts focus on documenting prevalent machine learning (ML) threats and countermeasures, including the mechanisms by which emerging attacks circumvent existing defenses as well as the arms race between them. In the ever-expanding AI threat landscape, the goal of this work is to systematically formalize a body of knowledge intended to complement existing taxonomies and threat-modeling approaches of applications empowered by AI and to facilitate their automated assessment by leveraging enhanced reasoning capabilities. © 2024 by the authors.",artificial intelligence; attacks; cybersecurity; defenses; ontology,Artificial intelligence; Cybersecurity; Knowledge management; Application services; Application systems; Attack; Complex relationships; Cyber security; Defense; Machine-learning; Ontology's; Ontology-based; Property; Ontology,Preuveneers D.; Joosen W.,"Preuveneers, Davy (8850023700); Joosen, Wouter (57202521929)",8850023700; 57202521929,Multidisciplinary Digital Publishing Institute (MDPI),2024,English,Future Internet,7,10.3390/fi16030069,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188697954&doi=10.3390%2ffi16030069&partnerID=40&md5=ad3af440a804563fec1283a648fb5fe1,19995903,,,Journal Paper,1,,-,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85188697954
4,Enhancing Adversarial Robustness in AI Systems: A Novel Defense Mechanism Using Stable Diffusion,"Recent advancements in adversarial machine learning underscore the need for robust defenses against sophisticated attacks that compromise AI systems' reliability. Existing frameworks, such as AI Guardian, offer valuable defenses but often rely on assumptions that can limit their effectiveness, such as incorporating adversarial examples into training data and expecting attacks to be directional. This paper introduces an innovative approach to adversarial defense that diverges from traditional methods by proposing a defense strategy based on stable diffusion[1], [2]. Our method avoids training with adversarial examples and instead leverages continuous learning and comprehensive threat modeling to build inherently resilient AI systems. By addressing the limitations of existing defenses and emphasizing a dynamic, adaptive strategy, our approach aims to provide a more generalized and robust solution to adversarial threats. We present the theoretical underpinnings, experimental design, and anticipated benefits of our approach, with a focus on enhancing AI security and adaptability against unpredictable adversarial attacks[3], [4].  © 2024 IEEE.",Adversarial Attacks; Adversarial Robustness; Black-box Attacks; FGSM (Fast Gradient Sign Method); Machine Learning Security; White-box Attacks,Contrastive Learning; Generative adversarial networks; Adversarial robustness; AI systems; Black boxes; Black-box attack; Defence mechanisms; Fast gradient sign method; Machine learning security; Machine-learning; White box; White-box attack; Adversarial machine learning,Gujar S.S.,"Gujar, Shantanu Sudhir (59331322500)",59331322500,Institute of Electrical and Electronics Engineers Inc.,2024,English,"2024 2nd DMIHER International Conference on Artificial Intelligence in Healthcare, Education and Industry, IDICAIEI 2024",0,10.1109/IDICAIEI61867.2024.10842888,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217838456&doi=10.1109%2fIDICAIEI61867.2024.10842888&partnerID=40&md5=39c31fac2a2f36219fed7fe64a79b13e,,979-833152871-3,,Conference paper,1,,Unranked,Final,,Scopus,2-s2.0-85217838456
5,"A Review of Large Language Models in Healthcare: Taxonomy, Threats, Vulnerabilities, and Framework","Due to the widespread acceptance of ChatGPT, implementing large language models (LLMs) in real-world applications has become an important research area. Such productisation of technologies allows the public to use AI without technical knowledge. LLMs can revolutionise and automate various healthcare processes, but security is critical. If implemented in critical sectors such as healthcare, adversaries can manipulate the vulnerabilities present in such systems to perform malicious activities such as data exfiltration and manipulation, and the results can be devastating. While LLM implementation in healthcare has been discussed in numerous studies, threats and vulnerabilities identification in LLMs and their safe implementation in healthcare remain largely unexplored. Based on a comprehensive review, this study provides new findings which do not exist in the current literature. This research has proposed a taxonomy to explore LLM applications in healthcare, a threat model considering the vulnerabilities of LLMs which may affect their implementation in healthcare, and a security framework for the implementation of LLMs in healthcare and has identified future avenues of research in LLMs, cybersecurity, and healthcare. © 2024 by the authors.",ChatGPT; healthcare; large language models; security framework; taxonomy; threat model; vulnerabilities,ChatGPT; Healthcare; Healthcare process; Language model; Large language model; Real-world; Research areas; Security frameworks; Threat modeling; Vulnerability; Taxonomies,Hamid R.; Brohi S.,"Hamid, Rida (59442500300); Brohi, Sarfraz (55008038000)",59442500300; 55008038000,Multidisciplinary Digital Publishing Institute (MDPI),2024,English,Big Data and Cognitive Computing,4,10.3390/bdcc8110161,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210421593&doi=10.3390%2fbdcc8110161&partnerID=40&md5=4e9863810aaf5ec2cb37a504d7b95e3a,25042289,,,Journal Paper,1,,-,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85210421593
6,Threat Modeling of AI-as-a-Service Framework,"Artificial intelligence will be one of the key enablers of 6G technology. Compared to today's networks where we mostly benefit from ubiquitous communication capabilities, 6G is expected to transform the network into a powerfully distributed AI platform and exposes its AI capabilities to consumers. This is expected to be enabled by the AI-as-a-Service (AIaaS) framework. The latter unlocks new possibilities for network management and orchestration in the context of 6G by enabling network service providers to leverage AI capabilities as a service effectively. Thus, it is extremely important for the AIaaS framework to be intelligently protected against potential threats and malicious attacks. In this paper, we performed a comprehensive threat analysis of the AIaaS framework, identifying potential security threats and discussing mitigation strategies. © 2024 IEEE.",,Communication capabilities; Distributed AI; Is-enabled; Malicious attack; Network service providers; Networks management; Potential threats; Service framework; Threat modeling; Ubiquitous communication,Gulen U.; Tuna O.F.; Nour B.; Laaroussi Z.; Karacay L.; Karakoc F.,"Gulen, Utku (56294671700); Tuna, Omer Faruk (57221813193); Nour, Boubakr (57195226408); Laaroussi, Zakaria (57205595238); Karacay, Leyli (57217278858); Karakoc, Ferhat (59268338000)",56294671700; 57221813193; 57195226408; 57205595238; 57217278858; 59268338000,IEEE Computer Society,2024,English,"International Conference on Wireless and Mobile Computing, Networking and Communications",0,10.1109/WiMob61911.2024.10770432,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214661111&doi=10.1109%2fWiMob61911.2024.10770432&partnerID=40&md5=b5274785f6149270d4af1b6ea492b248,21619646,979-835038744-5,,Conference paper,1,,B,Final,,Scopus,2-s2.0-85214661111
7,AI-Driven Threat Modeling: Enhancing Risk Assessment in Software Projects,"This chapter explores the integration of AI-driven threat modeling and risk assessment within software development to enhance security practices. Utilizing a comprehensive literature review, case studies, and qualitative interviews with industry professionals, the study identifies best practices and emerging trends in threat modeling methodologies such as STRIDE and DREAD. Key findings reveal that organizations adopting AI technologies experience improved threat detection and response times, leading to a more robust security posture. However, the study also highlights the importance of human oversight and the ethical considerations surrounding AI applications. The conclusions emphasize that a proactive approach, involving cross-functional teams and continuous adaptation to evolving cyber threats, is essential for building resilient software applications. This work underscores the significance of integrating AI into threat modeling as a critical strategy for organizations aiming to safeguard their digital assets. © 2025 by IGI Global Scientific Publishing. All rights reserved.",,Enterprise software; Ethical technology; Software packages; Best practices; Case-studies; Industry professionals; Literature reviews; Model assessment; Qualitative interviews; Risks assessments; Security Practice; Software project; Threat modeling; Software design,Suresh Babu C.V.; Albert Gururaja V.,"Suresh Babu, C.V. (59140288100); Albert Gururaja, V. (59928945300)",59140288100; 59928945300,IGI Global,2025,English,Modern Insights on Smart and Secure Software Development,0,10.4018/979-8-3693-9851-7.ch007,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007268548&doi=10.4018%2f979-8-3693-9851-7.ch007&partnerID=40&md5=202f069e6d11d3774a62ad3ae58cdb9e,,979-836939853-1; 979-836939851-7,,Book chapter,1,,-,Final,,Scopus,2-s2.0-105007268548
8,Elicitation of security threats and vulnerabilities in Insurance chatbots using STRIDE,"Although chatbots are used a lot for customer relationship management (CRM), there needs to be more data security and privacy control strategies in chatbots, which has become a security concern for financial services institutions. Chatbots gain access to large amounts of vital company information and clients’ personal information, which makes them a target of security attacks. The loss of data stored in chatbots can cause major harm to companies and customers. In this study, STRIDE (viz. Spoofing, Tampering, Repudiation, Information disclosure, Denial of service, Elevation of privilege) modelling was applied to identify the data security vulnerabilities and threats that pertain to chatbots used in the insurance industry. To do this, we conducted a case study of a South African insurance organisation. The adopted methodology involved data collection from stakeholders in the insurance organisation to identify chatbot use cases and understand chatbot operations. After that, we conducted a STRIDE-based analysis of the chatbot use cases to elicit security threats and vulnerabilities in the insurance chatbots in the organisation. The results reveal that security vulnerabilities associated with Spoofing, Denial of Service, and Elevation of privilege are more relevant to insurance chatbots. The most security threats stem from Tampering, Elevation of privilege, and Spoofing. The study extends the discussion on chatbot security. It fosters an understanding of security threats and vulnerabilities that pertain to insurance chatbots, which is beneficial for security researchers and practitioners working on the security of chatbots and the insurance industry. © The Author(s) 2024.",Artificial Intelligence; Chatbot security; Chatbots; Customer relationship management; Data security; Insurance; STRIDE; Threat modelling,Computer Security; Humans; Insurance; South Africa; computer security; human; insurance; South Africa,Bokolo Z.; Daramola O.,"Bokolo, Zilungile (58938220300); Daramola, Olawande (36102361100)",58938220300; 36102361100,Nature Research,2024,English,Scientific Reports,0,10.1038/s41598-024-68791-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200249360&doi=10.1038%2fs41598-024-68791-z&partnerID=40&md5=a3205c407c8b295353d620b2a1bf8e1c,20452322,,,Journal Paper,1,,-,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85200249360
9,Towards More Practical Threat Models in Artificial Intelligence Security,"Recent works have identified a gap between research and practice in artificial intelligence security: threats studied in academia do not always reflect the practical use and security risks of AI. For example, while models are often studied in isolation, they form part of larger ML pipelines in practice. Recent works also brought forward that adversarial manipulations introduced by academic attacks are impractical. We take a first step towards describing the full extent of this disparity. To this end, we revisit the threat models of the six most studied attacks in AI security research and match them to AI usage in practice via a survey with 271 industrial practitioners. On the one hand, we find that all existing threat models are indeed applicable. On the other hand, there are significant mismatches: research is often too generous with the attacker, assuming access to information not frequently available in real-world settings. Our paper is thus a call for action to study more practical threat models in artificial intelligence security. © USENIX Security Symposium 2024.All rights reserved.",,Industrial practitioners; Practical use; Real world setting; Security research; Security risks; Security threats; Threat modeling; Industrial research,Grosse K.; Bieringer L.; Besold T.R.; Alahi A.,"Grosse, Kathrin (55555823400); Bieringer, Lukas (57224571020); Besold, Tarek R. (36458241900); Alahi, Alexandre (34869135400)",55555823400; 57224571020; 36458241900; 34869135400,USENIX Association,2024,English,Proceedings of the 33rd USENIX Security Symposium,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204997489&partnerID=40&md5=de738dfec6c9cab05e4d5d3a06baa328,,978-193913344-1,,Conference paper,1,,A*,Final,,Scopus,2-s2.0-85204997489
10,ThreatFinderAI: Automated Threat Modeling Applied to LLM System Integration,"Artificial Intelligence (AI) is a rapidly integrated technology, significantly contributing to advancements like 6G. However, its swift adoption raises considerable security concerns. Large Language Models (LLMs) pose risks such as spear phishing, code injections, and remote code execution. Conventional threat modeling, used in secure software development, faces challenges when applied to AI systems, as existing methodologies are designed for traditional software. Furthermore, AI-specific threat modeling research is sparse and lacks approaches providing practical support or automation. Thus, this demo paper presents ThreatFinderAI, an asset-centric threat modeling and risk assessment framework. ThreatFinderAI fulfills seven steps aligned with AI system design and transforms AI threat and control knowledge bases into a queryable knowledge graph for automated asset identification and threat elicitation. It also proposes business impact analysis and expert estimates for AI threat impact quantification. In the demonstration, ThreatFinderAI is illustrated by securing a customer care application relying on LLMs. Through this, it is demonstrated how the proposed framework can be used to identify relevant threats and practical countermeasures and communicate strategic risk.  © 2024 IFIP.",AI Security; AI Systems; Large Language Models; Threat Modeling,Risk assessment; Artificial intelligence security; Artificial intelligence systems; Code injection; Integrated technologies; Language model; Large language model; Modelling systems; Spear phishing; System integration; Threat modeling; Knowledge graph,Von Der Assen J.; Huertas A.; Sharif J.; Feng C.; Bovet G.; Stiller B.,"Von Der Assen, Jan (57226838017); Huertas, Alberto (57984911800); Sharif, Jamo (58957216000); Feng, Chao (57224898081); Bovet, Gérôme (55804611600); Stiller, Burkhard (7004689641)",57226838017; 57984911800; 58957216000; 57224898081; 55804611600; 7004689641,Institute of Electrical and Electronics Engineers Inc.,2024,English,"Proceedings of the 2024 20th International Conference on Network and Service Management: AI-Powered Network and Service Management for Tomorrow's Digital World, CNSM 2024",0,10.23919/CNSM62983.2024.10814632,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216521822&doi=10.23919%2fCNSM62983.2024.10814632&partnerID=40&md5=c57c6f90e15945d0269acc10943b6cec,,978-390317666-9,,Conference paper,1,,B,Final,,Scopus,2-s2.0-85216521822
