Timestamp;1. Please indicate your gender;2. Please indicate your age;3. Please indicate which of the following roles best describes your work in the organization;4. Please indicate how much experience you have with the analyzed system;5. Please indicate how extensive your experience is with threat modeling methodologies for security (e.g., STRIDE);6. Please indicate your knowledge of security threats affecting GenAI-based software systems;A.1. The method helped identify important security threats for our system;A.2. The threats found by the method were actionable (clear mitigations or next steps);A.3. The method surfaced threats we would likely have missed otherwise;A.4. The effort required is acceptable for regular use;A.5. The outputs integrate well with our existing tooling (tickets, risk register, architecture docs, CI/CD, security reviews).;A.6. The method adequately captures GenAI-specific risks (e.g., prompt injection, insecure tool use, data leakage);A.7. The method adequately captures socio-technical risks (e.g., bias, harmful outputs, misuse, human-in-the-loop failure modes);B.1. The method helped identify important security threats for our system;B.2. The threats found by the method were actionable (clear mitigations or next steps);B.3. The method surfaced threats we would likely have missed otherwise;B.4. The effort required is acceptable for regular use;B.5. The outputs integrate well with our existing tooling (tickets, risk register, architecture docs, CI/CD, security reviews).;B.6. The method adequately captures GenAI-specific risks (e.g., prompt injection, insecure tool use, data leakage);B.7. The method adequately captures socio-technical risks (e.g., bias, harmful outputs, misuse, human-in-the-loop failure modes);C.1. The method helped identify important security threats for our system;C.2. The threats found by the method were actionable (clear mitigations or next steps);C.3. The method surfaced threats we would likely have missed otherwise;C.4. The effort required is acceptable for regular use;C.5. The outputs integrate well with our existing tooling (tickets, risk register, architecture docs, CI/CD, security reviews).;C.6. The method adequately captures GenAI-specific risks (e.g., prompt injection, insecure tool use, data leakage);C.7. The method adequately captures socio-technical risks (e.g., bias, harmful outputs, misuse, human-in-the-loop failure modes);7. What were the top 3 most valuable threats identified across the methods, and why?;8. What would have to change for this method to be adoptable in your workflow (training, templates, tooling, ownership, cadence)?
2.17.2026 8:50:25;Man;35;Managing Director;Some experience (I have tested it but not contributed to its development);Minimal experience (I have a rough idea of the main concepts behind threat modeling);No prior knowlege  (I have never heard of any of these threats);4;5;4;3;4;3;5;5;5;4;5;4;4;5;5;5;5;5;5;5;5;security controls for agent behavior governance, Improper Output Handling;drafting the solution in the threat modeller early is very useful and should become a standard in our process
2.19.2026 16:05:26;Man;51;Security engineer;Minimal experience (I have interacted with it but have not contributed to its deployment);No experience (I have never heard nor applied threat modeling so far);Minimun knowledge (I am aware of them but I am not familiar with concrete threat types);6;4;6;4;4;4;3;4;4;5;4;4;4;3;6;4;5;5;4;6;5;Prompt injection, sensitive info disclosure, data poisoning. These were the initial threats that are important to mitigate;Training, using right tools to mitigate the threat/risk, workshops on specific threats to develop processes/procedures or templates that will be helpful
4.27.2026 18:26:33;Woman;30;Product owner;Moderate experience (I have contributed to the development of some of its components);Some experience (I know these methodologies but never applied them in the practice);Moderate knowledge (I familiar with many threat types but no hands-on experience);6;4;6;5;4;6;3;5;4;5;5;4;5;3;6;6;6;5;4;6;4;For me, the top 3 most valuable threats would be Prompt injection, data poisoning and sensitive information disclosure. Since the overall system works on external and untrusted inputs like customer emails or documents, hidden instructions can influence the system. The same apply to the data poisoning. Lastly, since we are storing customer information, we should consider the risk of sensitive information disclosure as a key aspect when defining the system architecture and risk mitigation strategies;For me, the method would need to become more practical and easier to integrate into our normal workflow.  We would need a lightweight template or checklist that we can use during architecture reviews, sprint planning, and release reviews
4.28.2026 17:26:37;Man;24;Solution Architect;Moderate experience (I have contributed to the development of some of its components);Minimal experience (I have a rough idea of the main concepts behind threat modeling);Minimun knowledge (I am aware of them but I am not familiar with concrete threat types);5;5;5;6;5;5;4;3;3;2;2;2;2;2;5;5;5;5;5;5;5;Prompt Injection ,Sensitive Data Leakage ,Unauthorized Access to AI Services and APIs;Team members would need training on AI-specific threats and modeling techniques
4.30.2026 9:16:12;Man;44;Data scientist;Minimal experience (I have interacted with it but have not contributed to its deployment);Some experience (I know these methodologies but never applied them in the practice);Some knowledge (I familiar with a few concrete threat types);5;4;4;4;4;4;3;5;5;5;4;4;5;3;6;6;6;6;5;5;4;Prompt injection was a real eye-opener. Data poisoning too — silent and sneaky. And data leakage through cloud APIs, honestly we wouldn't have caught that on our own;Templates would make it so much easier. A quick onboarding session for the team. And just connect it to our tickets — that alone would make a huge difference
4.30.2026 15:19:49;Man;30;AI Engineer;Minimal experience (I have interacted with it but have not contributed to its deployment);No experience (I have never heard nor applied threat modeling so far);No prior knowlege  (I have never heard of any of these threats);4;3;3;2;3;2;1;4;3;4;3;3;4;1;5;5;5;5;5;5;2;1. Prompt Injection — emails and PDFs could carry hidden instructions that manipulate the LLM agents. 2. Data Poisoning — malicious inputs through emails or forms corrupt the data and produce wrong reports. 3. Sensitive Data Disclosure — customer data in LLM prompts could leak into generated reports;NA
5.9.2026 11:17:50;Rather not say;27;Software engineer;Minimal experience (I have interacted with it but have not contributed to its deployment);No experience (I have never heard nor applied threat modeling so far);Some knowledge (I familiar with a few concrete threat types);6;5;6;4;4;6;4;5;4;4;4;4;4;2;6;5;6;4;4;6;4;Prompt injection (Emails and PDF files can include hidden instructions. These could change how the LLM behaves.), Sensitive data leakage (The system works with customer emails, forms, reports, and database records. If this data leaks, it can create privacy and compliance problems.), Data poisoning (Wrong or harmful input data can affect reports and dashboards. This can lead to wrong business results.). ;We would need simple templates, clear owners, and easy steps to follow. The results should be easy to turn into tickets, risk register items, and security review notes. We would also need short training for developers and security reviewers. It should be used during design, before releases, and when LLM agents or data flows change.
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
